Year,Title,Worldwide gross,Budget,Total Sales
1937,Snow White and the Seven Dwarfs,"$418,200,000+ ($8,500,000)R","$1,488,423 ",426700000
1939,Gulliver's Travels,"$3,200,000*","$700,000 ",3200000
1940,Pinocchio,"$87,000,862* ($3,500,000)R","$2,600,000 ",90500862
1941,Dumbo,"$1,600,000*","$950,000 ",1600000
1942,Bambi,"$267,447,150 ($3,449,353)R","$1,700,000–2,000,000",270896503
1943,Victory Through Air Power,"$799,000*","~$789,000",799000
1944,The Three Caballeros,"$3,355,000R",TBD,3355000
1945,The Enchanted Sword,"ES€5,595,283ES (~$90,000)",TBD,5685283
1946,Make Mine Music,"$3,275,000R","$1,370,000 ",3275000
1947,Fun and Fancy Free,"$3,165,000R",TBD,3165000
1948,Melody Time,"$2,560,000R","$1,500,000 ",2560000
1949,The Adventures of Ichabod and Mr. Toad,"$1,625,000R",TBD,1625000
1950,Cinderella,"$263,591,415($20,000,000/$7,800,000)*R","$2,200,000 ",263591415
1951,Alice in Wonderland,"$2,400,000*","$3,000,000 ",2400000
1953,Peter Pan,"$145,000,000 ($7,000,000)","$3,000,000–4,000,000",152000000
1955,Lady and the Tramp,"$187,000,000 ($6,500,000)*R","$4,000,000 ",193500000
1959,Sleeping Beauty,"$51,600,000* ($5,300,000)R","$6,000,000 ",56900000
1961,One Hundred and One Dalmatians,"$215,880,212 ","$3,600,000–4,000,000",215880212
1963,The Sword in the Stone,"$22,182,353*R ($13,050,777)*R","$3,000,000 ",35233130
1964,"Hey There, It's Yogi Bear","$1,940,903*–2,438,233*($1,130,000)R",TBD,1940903
1966,The Man Called Flintstone,"$2,764,684*",TBD,2764684
1967,The Jungle Book,"$378,000,000($23,800,000)R","$3,900,000–4,000,000",378000000
1968,Out of an Old Man's Head,"SEK1,270,971SW (~$245,000)H",TBD,1515971
1969,A Boy Named Charlie Brown,"$12,000,000*","$1,100,000 ",12000000
1970,The Aristocats,"$191,000,000 ($26,462,000)R","$4,000,000 ",217462000
1971,Daisy Town,"SEK1,202,319 SW (~$253,000)",TBD,253000
1972,Fritz the Cat,"$90,000,000 ","$850,000 ",90000000
1973,Robin Hood,"$32,056,467* ($17,160,000)R","$5,000,000 ",49216467
1974,Dunderklumpen!,"SEK5,813,000SW (~$2,675,205.50)H",TBD,273333550
