,0,1,2,3,4,5
0,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film
1,Rank,Series,Total worldwide box office,No. of films,Average of films,Highest-grossing film
2,"1 Despicable Me $3,708,073,676 4 $927,018,419 Minions ($1,159,398,397) Main series $2,548,675,279 3 $849,558,426 Despicable Me 3 ($1,034,799,409) 1 Despicable Me 3 (2017) $1,034,799,409 2 Despicable Me 2 (2013) $970,761,885 3 Despicable Me (2010) $543,113,985 Minions (2015) $1,159,398,397","1 Despicable Me $3,708,073,676 4 $927,018,419 Minions ($1,159,398,397) Main series $2,548,675,279 3 $849,558,426 Despicable Me 3 ($1,034,799,409) 1 Despicable Me 3 (2017) $1,034,799,409 2 Despicable Me 2 (2013) $970,761,885 3 Despicable Me (2010) $543,113,985 Minions (2015) $1,159,398,397","1 Despicable Me $3,708,073,676 4 $927,018,419 Minions ($1,159,398,397) Main series $2,548,675,279 3 $849,558,426 Despicable Me 3 ($1,034,799,409) 1 Despicable Me 3 (2017) $1,034,799,409 2 Despicable Me 2 (2013) $970,761,885 3 Despicable Me (2010) $543,113,985 Minions (2015) $1,159,398,397","1 Despicable Me $3,708,073,676 4 $927,018,419 Minions ($1,159,398,397) Main series $2,548,675,279 3 $849,558,426 Despicable Me 3 ($1,034,799,409) 1 Despicable Me 3 (2017) $1,034,799,409 2 Despicable Me 2 (2013) $970,761,885 3 Despicable Me (2010) $543,113,985 Minions (2015) $1,159,398,397","1 Despicable Me $3,708,073,676 4 $927,018,419 Minions ($1,159,398,397) Main series $2,548,675,279 3 $849,558,426 Despicable Me 3 ($1,034,799,409) 1 Despicable Me 3 (2017) $1,034,799,409 2 Despicable Me 2 (2013) $970,761,885 3 Despicable Me (2010) $543,113,985 Minions (2015) $1,159,398,397","1 Despicable Me $3,708,073,676 4 $927,018,419 Minions ($1,159,398,397) Main series $2,548,675,279 3 $849,558,426 Despicable Me 3 ($1,034,799,409) 1 Despicable Me 3 (2017) $1,034,799,409 2 Despicable Me 2 (2013) $970,761,885 3 Despicable Me (2010) $543,113,985 Minions (2015) $1,159,398,397"
3,1,Despicable Me,"$3,708,073,676",4,"$927,018,419","Minions ($1,159,398,397)"
4,"Main series $2,548,675,279 3 $849,558,426 Despicable Me 3 ($1,034,799,409) 1 Despicable Me 3 (2017) $1,034,799,409 2 Despicable Me 2 (2013) $970,761,885 3 Despicable Me (2010) $543,113,985","Main series $2,548,675,279 3 $849,558,426 Despicable Me 3 ($1,034,799,409) 1 Despicable Me 3 (2017) $1,034,799,409 2 Despicable Me 2 (2013) $970,761,885 3 Despicable Me (2010) $543,113,985","Main series $2,548,675,279 3 $849,558,426 Despicable Me 3 ($1,034,799,409) 1 Despicable Me 3 (2017) $1,034,799,409 2 Despicable Me 2 (2013) $970,761,885 3 Despicable Me (2010) $543,113,985","Main series $2,548,675,279 3 $849,558,426 Despicable Me 3 ($1,034,799,409) 1 Despicable Me 3 (2017) $1,034,799,409 2 Despicable Me 2 (2013) $970,761,885 3 Despicable Me (2010) $543,113,985","Main series $2,548,675,279 3 $849,558,426 Despicable Me 3 ($1,034,799,409) 1 Despicable Me 3 (2017) $1,034,799,409 2 Despicable Me 2 (2013) $970,761,885 3 Despicable Me (2010) $543,113,985","Main series $2,548,675,279 3 $849,558,426 Despicable Me 3 ($1,034,799,409) 1 Despicable Me 3 (2017) $1,034,799,409 2 Despicable Me 2 (2013) $970,761,885 3 Despicable Me (2010) $543,113,985"
5,,Main series,"$2,548,675,279",3,"$849,558,426","Despicable Me 3 ($1,034,799,409)"
6,1,Despicable Me 3 (2017),"$1,034,799,409",,,
7,2,Despicable Me 2 (2013),"$970,761,885",,,
8,3,Despicable Me (2010),"$543,113,985",,,
9,"Minions (2015) $1,159,398,397","Minions (2015) $1,159,398,397","Minions (2015) $1,159,398,397","Minions (2015) $1,159,398,397","Minions (2015) $1,159,398,397","Minions (2015) $1,159,398,397"
