TITLE,YEAR
Pinocchio (Live-Action),Unknown
Kim Possible,TBA
TRON 3,Stalled
Enchanted 2,DEV
Tink,DEV
Gigantic,2020
Jungle Cruise,2020
Frozen 2,2019
Dumbo (Live-Action),2019
Descendants 3,2019
Mulan (Live-Action),2019
Toy Story 4,2019
The Lion King,2019
Aladdin,2019
Mary Poppins Returns,2018
Magic Camp,2018
Cruella (Live-Action),2018
Wreck-It Ralph 2: Ralph Breaks the Internet,2018
Freaky Friday,2018
A Wrinkle in Time,2018
Zombies,2018
Incredibles 2,2018
Cars 3,2017
Beauty and the Beast,2017
Coco,2017
Descendants 2,2017
Tangled: Before Ever After,2017
Pirates of the Caribbean: Dead Men Tell No Tales,2017
Zootopia,2016
Jungle Book,2016
Adventures in Babysitting,2016
Alice Through the Looking Glass,2016
The Swap,2016
Finding Dory,2016
Pete's Dragon,2016
The Finest Hours,2016
Queen of Katwe,2016
The BFG,2016
Moana,2016
Inside Out,2015
Bad Hair Day,2015
Descendants,2015
The Good Dinosaur,2015
Tinkerbell and the Legend of the Neverbeast,2015
Tomorrowland,2015
Cinderella,2015
Teen Beach Movie 2,2015
Million Dollar Arm,2014
Planes: Fire Rescue,2014
How To Build A Better Boy,2014
"McFarland, USA",2014
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014
The Pirate Fairy,2014
Big Hero 6,2014
Muppets: Most Wanted,2014
Cloud 9,2014
Zapped,2014
Maleficent,2014
Into The Woods,2014
Saving Mr. Banks,2013
Frozen,2013
Oz: The Great and Powerful,2013
Planes,2013
Super Buddies,2013
Monsters University,2013
Teen Beach Movie,2013
Lone Ranger,2013
Wreck-It Ralph,2012
Frenemies,2012
The Secret World of Arrietty,2012
Let It Shine,2012
Radio Rebel,2012
Santa Paws 2: The Santa Pups,2012
Girl vs. Monster,2012
Beverly Hills Chihuahua 3: Viva La Fiesta!,2012
Tinker Bell: Secret of the Wings,2012
Sofia the First: Once Upon a Princess,2012
Treasure Buddies,2012
Frankenweenie,2012
John Carter,2012
The Odd Life of Timothy Green,2012
Brave,2012
Phineas & Ferb: Across the 2nd Dimension,2011
The Muppet,2011
Once Upon A Warrior (Anaganaga O Dheerudu),2011
Mars Needs Moms,2011
The Suite Life Movie,2011
Beverly Hills Chihuahua 2,2011
Sharpay's Fabulous Adventure,2011
Spooky Buddies,2011
Pirates of the Caribbean: On Stranger Tides,2011
Lemonade Mouth,2011
"Good Luck Charlie, It's Christmas",2011
Geek Charming,2011
Winnie the Pooh,2011
Cars 2,2011
Alice In Wonderland,2010
Tinker Bell and the Great Fairy Rescue,2010
Den Brother,2010
Tangled,2010
The Search for Santa Paws,2010
Secretariat,2010
Prince of Persia : Sands of Time,2010
Star Struck,2010
Sorcerers Apprentice,2010
TRON Legacy,2010
Camp Rock 2: The Final Jam,2010
Toy Story 3,2010
Avalon High,2010
Tigger & Pooh and a Musical Too,2009
Hannah Montana: The Movie,2009
G-Force,2009
Princess Protection Program,2009
A Christmas Carol,2009
Tinker Bell and the Lost Treasure,2009
Ponyo,2009
Up,2009
Race to Witch Mountain,2009
Santa Buddies,2009
Space Buddies,2009
The Princess and the Frog,2009
Hatching Pete,2009
Wizards of Waverly Place: The Movie,2009
Old Dogs,2009
Dadnapped,2009
Chronicles of Narnia: Prince Caspian,2008
Wall E,2008
High School Musical 3: Senior Year,2008
Tinker Bell,2008
Snow Buddies,2008
Bolt,2008
Beverly Hills Chihuahua,2008
Bedtime Stories,2008
Camp Rock,2008
College Road Trip,2008
The Cheetah Girls: One World,2008
The Little Mermaid III - Ariel's Beginning,2008
Minutemen,2008
Johnny Kapahala: Back on Board,2007
National Treasure: Book of Secrets,2007
Ratatouille,2007
Underdog,2007
My Friends Tigger and Pooh: Super Sleuth Christmas,2007
Cinderella III: A Twist in Time,2007
Twitches Too,2007
Bridge to Terabithia,2007
The Secret of the Magic Gourd,2007
Pirates of the Caribbean: At World's End,2007
The Game Plan,2007
High School Musical 2,2007
Jump In!,2007
Enchanted,2007
Meet the Robinsons,2007
Brother Bear 2,2006
Invincible,2006
Return to Halloweentown,2006
The Shaggy Dog,2006
Glory Road,2006
Bambi II,2006
The Fox and the Hound 2,2006
High School Musical,2006
Pirates of the Caribbean: Dead Man's Chest,2006
Cars,2006
Santa Clause 3: The Escape Clause,2006
The Wild,2006
Read It And Weep,2006
Wendy Wu: Homecoming Warrior,2006
Eight Below,2006
The Cheetah Girls 2,2006
Air Buddies,2006
Cow Belles,2006
Now You See It,2005
Life is Ruff,2005
"Chronicles of Narnia: The Lion, Witch and the Wardrobe",2005
Lilo and Stitch 2: Stich Has a Glitch,2005
Pooh's Heffalump Halloween Movie,2005
The Pacifier,2005
The Proud Family Movie,2005
Once Upon a Mattress,2005
Kim Possible Movie: So the Drama,2005
Pooh's Heffalump Movie,2005
Sky High,2005
Ice Princess,2005
Herbie Fully Loaded,2005
The Greatest Game Ever Played,2005
Go Figure,2005
Buffalo Dreams,2005
Twitches,2005
Valiant,2005
Chicken Little,2005
Kronk's New Groove,2005
Winnie the Pooh: Springtime with Roo,2004
Confessions of a Teenage Drama Queen,2004
Stuck in the Suburbs,2004
Mulan II,2004
Halloweentown High,2004
Mickey's Twice Upon a Christmas,2004
The Incredibles,2004
Going to the Mat,2004
Princess Diaries 2: Royal Engagement,2004
Zenon: Z3,2004
The Lion King 1 1/2,2004
Miracle,2004
Around the World in 80 Days,2004
Teacher's Pet,2004
Pixel Perfect,2004
Home on the Range,2004
National Treasure,2004
Tiger Cruise,2004
The Three Musketeers (Animated),2004
Howl's Moving Castle,2004
Eddie's Million Dollar Cook-Off,2003
Holes,2003
