ASINMasterId,ASIN,Product_Description
-1,<UnAssigned>,<UnAssigned>
1,B0005YXZMQ,"Aunt Jemima Pancake Syrup Lite, 24 oz"
2,B00061ES1K,"Starbucks Doubleshot Espresso and Cream, 6.5 oz"
3,B00099E93Q,"Quaker Granola Oats, Honey, Almonds & Raisins, 100% Natural, 28 oz"
4,B00099XLXU,"Quaker Oats Quick 1-Minute Oatmeal, Breakfast Cereal, 18oz Canister"
5,B00099XM0M,"Quaker Chewy Dipps Granola Bars, Chocolate Chip, 6 ct - 1.09 oz each"
6,B000PL0YEG,"Pasta Roni Fettuccine Alfredo, 4.7 oz"
7,B000PL0YG4,"Pasta Roni Angel Hair Pasta with Herbs, 4.8 oz"
8,B000PL2VTW,"Rice A Roni, Herb & Butter Flavor, Rice Mix, 7.2 oz"
9,B000PL2VW4,"Pasta Roni, Parmesan Cheese Flavor, 5.1 Oz"
10,B000PL478A,"Rice A Roni Rice Pilaf, 7.2 oz"
11,B000PRMFL0,"Smartfood White Cheddar Popcorn, 5 oz"
12,B000PRODOM,"Cheetos, Flamin Hot Crunchy, 9.5 oz"
13,B000PUJ01K,"Pasta Roni Shells and White Cheddar, 6.2 oz"
14,B000PWIR7Q,"Quaker Popped Rice Crisp Snacks, Gluten Free, Cheddar Cheese, 6.06 Ounce Bag"
15,B000PWK3KK,Quaker Quick Oats Large - 42 oz
16,B000PWK3MI,"Quaker Life Original Cereal, 18oz"
17,B000PWK3OQ,"Quaker Rice Cakes, Gluten Free White Cheddar, 5.50 oz"
18,B000PWNIE8,"Quaker Old Fashioned Oatmeal, Breakfast Cereal, 42 oz Canister"
19,B000PWNIJI,"Quaker Rice Cakes, Lightly Salted, 4.47 oz"
20,B000Q6RHU4,"Tropicana, Orange Juice, No Pulp, 118 oz"
21,B000Q6T6IU,"Dole 100% Juice, Orange Strawberry Banana, 59 oz"
22,B000Q6V1XI,"Tropicana, Orange Juice with Calcium + Vitamin D, No Pulp, 118 oz"
23,B000Q6V1YC,"Dole, 100% Juice Pineapple Orange Banana, 59 oz"
24,B000R2Z2Y0,"Gatorade Thirst Quencher, Orange, 8 ct, 20 oz"
25,B000R2Z2YK,"Gatorade Rain Thirst Quencher, Berry, 32 oz"
26,B000R2Z32G,"Gatorade Thirst Quencher, Fruit Punch, 32 oz"
27,B000R2Z330,"Gatorade Thirst Quencher, Orange, 32 oz"
28,B000R30LLI,"Gatorade Thirst Quencher, Fruit Punch, 128 oz"
29,B000R30LNG,"Gatorade Thirst Quencher, Lemon Lime, 32 oz"
30,B000R32OOU,"Gatorade Frost Thirst Quencher, Glacier Freeze, 32 oz"
31,B000R32ORW,"Gatorade Thirst Quencher, Orange, 64 oz"
32,B000R32OS6,"Gatorade Thirst, Quencher, Lemon-Lime, 64 oz"
33,B000R36GS0,"Gatorade Thirst Quencher, Lemon Lime, 8 ct, 20 oz"
34,B000R36GTE,"Gatorade Frost Thirst Quencher, Riptide Rush, 32 oz"
35,B000R36GUS,"Gatorade Thirst Quencher, Cool Blue, 32 oz"
36,B000R36GV2,"Gatorade Fierce Thirst Quencher, Grape, 32 oz"
37,B000R36GW6,"Gatorade Thirst Quencher, Fruit Punch, 64 oz"
38,B000R36GXA,"Propel Zero Nutrient Enhanced Water, Lemon, 6 pk, 16.9 oz"
39,B000R4EMCG,"Dole, 100% Juice  Orange Peach Mango, 59 oz"
40,B000R93LL4,Near East Original Couscous - 10 oz
41,B000R93LM8,"Near East Couscous, Roasted Garlic & Olive Oil, 5.8 Oz"
42,B000R96EVS,"Near East Rice Pilaf, 6.09 Oz"
43,B000R9AK5O,"Pepsi Cola 12-Pack, 12 oz cans (Packaging May Vary)"
44,B000R9AKYU,"Mountain Dew, 12-Pack, 12 oz Cans"
45,B000R9AL08,"Mountain Dew Diet Soda, 12 Ounce (12 Cans)"
46,B000R9AL0I,"Pepsi Diet Caffeine Free Soda, 12 oz (12 Cans)"
47,B000R9AL1M,"Schweppes Club Soda, 6-Pack, 10 oz Bottles"
48,B000R9AL4E,"Pepsi Cola Soda, 2 Liter"
49,B000R9AL4O,"Diet Pepsi, 2 Liter"
50,B000R9AL4Y,"Mountain Dew, 2 Liter"
51,B000R9ALCG,"Starbucks Doubleshot, 4-Pack, 6.5 oz Cans"
52,B000R9ALD0,"Starbucks Doubleshot, Light, 4-Pack, 6.5 oz Cans"
53,B000R9ALDU,"Starbucks Frappuccino, Mocha, Coffee Drink (4 Count, 9.5 Fl Oz Each)"
54,B000R9ALEY,"Starbucks Frappuccino Lite Mocha, 4 pk, 9.5 oz Bottles"
55,B000R9ALP8,"SOBE Life Water Strawberry Kiwi, 20 oz pack of 12"
56,B000R9COPS,"Pepsi Diet Wild Cherry Soda, 12 Ounce (12 Cans)"
57,B000R9COQ2,"Schweppes Tonic Water, 6-Pack, 10 oz Bottles"
58,B000R9COQW,"Schweppes Ginger Ale, 6-Pack, 10 oz Bottles"
59,B000R9COWG,"Mug Rootbeer, 2 Liter"
60,B000R9CPH0,"SOBE Life Water Pomegranate Cherry, 20 oz"
61,B000R9DW5Y,"IZZE Sparkling Juice, Blackberry, 12 oz Glass Bottles, 4 Count"
62,B000R9DW6S,"IZZE Sparkling Juice, Blueberry, 12 oz Glass Bottles, 4 Count"
63,B000R9EEH4,"Aquafina Water, 16.9 oz (Pack of 24)"
64,B000R9EENS,"Lipton Diet Green Tea with Citrus, 12-Pack, 16.9 oz Bottles"
65,B000R9EEOM,"Lipton Diet Tea with Lemon, 12-Pack, 16.9 oz Bottles"
66,B000R9EESS,"SOBE Life Water Blackberry Grape, 20 oz"
67,B000R9F3QA,"IZZE Sparkling Juice, Clementine, 12 oz Glass Bottles, 4 Count"
68,B000R9F3VA,"IZZE Sparkling Juice, Grapefruit, 12 oz Glass Bottles, 4 Count"
69,B000R9GMPQ,"Diet Pepsi Cola, 12 ct, 12 oz Cans (Packaging May Vary)"
70,B000R9GMR4,"Mug Root Beer, 12-Pack, 12 oz Cans"
71,B000R9GN50,"Starbucks Frappuccino Vanilla, 4 pk, 9.5 oz Bottles"
72,B000R9GN5K,"Starbucks Frappuccino Coffee, 1 Pack of 4 , 9.5 oz Bottles"
73,B000R9GND2,"SOBE Orange Carrot, 20 oz"
74,B000RLPJPI,"Cracker Jack Popcorn & Peanuts, Caramel Coated (3 Count, 1 Oz Each)"
75,B000RLR0PK,"Pasta Roni Chicken & Broccoli Flavor, 4.7 oz"
76,B000RLR0T6,"Rice A Roni Savory Whole Grain Blends, Roasted Garlic Italiano, 4 oz"
77,B000RLT46S,"Rice A Roni Chicken Flavor, 6.9 oz"
78,B000RO2EJ4,"Rice A Roni, Chicken, 6.9 Oz"
79,B000ROB9ZY,"Gatorade A.M.Thirst Quencher, Tropical-Mango, 32 oz"
80,B000RPUCQK,"Quaker Oats Old Fashioned Oatmeal, 18 oz Canister"
81,B000RPUD9Q,"Quaker Chewy Granola Bar, Reduced Sugar, Chocolate Chip, 6.7 oz"
82,B000RPUDX2,"Quaker Popped Rice Snacks, Apple Cinnamon, 3.52 Oz"
83,B000RPW04W,"Quaker Chewy Granola Bars 90 Calories Low Fat Chocolate Chunk, 8 ct, .84 oz each"
84,B000RPW05G,Quaker Chewy Variety Pack - 6.7 oz
85,B000RPYYW8,"Quaker, Low Fat Oatmeal Raisin Granola Bars, 8 ct, .84 oz each"
86,B000RPYZ3G,"Quaker Chewy Granola Bars Dipps Peanut Butter, 6 ct, 1.05 oz each"
87,B000RPYZ5E,"Quaker Popped Rice Snacks, Cheddar Cheese, 3.03 Oz"
88,B000RYHGWO,"Gatorade Fierce Thirst Quencher Sports Drink Melon, 32 oz"
89,B000SR5XZ2,"Near East Taboule, 5.25 oz"
90,B000SRI41M,"Near East Couscous, Parmesan, 5.9 Oz"
91,B000SRI42Q,"Near East Spanish Rice Pilaf, 6.75 Oz"
92,B000SRK7JY,Near East Herb Chicken Couscous - 5.7 oz
93,B000SRK7KS,"Near East Long Grain and Wild Rice, 6 Oz"
94,B000SRK7P8,"Near East Couscous, Toasted Pine Nut, 5.6 Oz"
95,B000SRLNYM,"Near East Almond Pilaf, 6.6 oz"
96,B000SRLO1O,"Near East Meditteranean Curry Couscous, 5.7 oz"
97,B000ST14FI,"Quaker Natural Granola Cereal, 28 Oz"
98,B000UENGWK,"Doritos Tortilla Chips, Cool Ranch, 11 oz"
99,B000UENHBU,"Tostitos Salsa Con Queso - Medium, 15 Ounce"
100,B000UENHH4,"Tostitos Scoops! Tortilla Chips, 10 Ounce"
101,B000UEP4D4,"Fritos Corn Chips, Original, 10.25 oz"
102,B000UEP4E8,"Lay's Potato Chips, Original, 10 oz"
103,B000UEP4GQ,"Lay's Kettle Cooked Potato Chips, Original, 8.5 oz"
104,B000UEP4NO,"Santitas Yellow Corn Tortilla Chips, 11 Ounce"
105,B000UEP57O,"Lay's Oven Baked Original Potato Crisps, 6.25 Ounce"
106,B000UER7JI,"Lay's Potato Chips, Wavy Original, 10 oz"
107,B000UER7MU,"Ruffles Original Potato Chips, 9 Ounce"
108,B000UER87O,"Cheetos Oven Baked Crunchy Cheese Flavored Snacks, 7.65 Ounce"
109,B000UESJ2W,"Lay's Potato Chips, BBQ, 9.5 oz"
110,B000UESJ4U,"Lay's Potato Chips, Sour Cream & Onion, 9.5 oz"
111,B000UESJ8Q,"Ruffles Cheddar & Sour Cream Flavored Potato Chips, 8.5 Ounce"
112,B000UESJKO,"Frito-Lay Chips and Snacks Flavor Mix Variety Pack, 20 Count"
113,B000UEUA4C,"Munchies Cheese Fix Flavored Snack Mix, 8 Ounce"
114,B000UEUA5Q,"Rold Gold Pretzels, Thins, orginal 16 oz"
115,B000UEUAD8,"Tostitos Chunky Salsa - Medium, 15.5 Ounce"
116,B000UEUAGU,"Frito-Lay Chips Classic mix Multipack, 20 Count"
117,B000UEUAO2,"Tostitos Oven Baked Scoops! Tortilla Chips, 6.25 Ounce"
118,B000UVUGW6,"IZZE Sparkling Juice, Pomegranate, 12 oz Glass Bottles, 4 Count"
119,B000UW1OLM,"IZZE Sparkling Juice, Apple, 12 oz Glass Bottles, 4 Count"
120,B000V9JKQK,Quaker Apple Cinnamon Rice Cake - Gluten Free - 6.52 oz
121,B000V9JKVK,"Quaker Popped Rice Snacks, Caramel Corn, 3.52 oz"
122,B000V9MZKI,Quaker Chocolate Rice Cake - 7.23 oz
123,B000V9MZUI,Quaker Mini Rice Kettle Corn - 3.52 oz
124,B000V9N002,"Quaker Rice Cakes, Salt Free , 4.5 oz"
125,B000V9QKVS,"Quaker Buttered Popcorn Rice Cakes, 4.47 oz"
126,B000VA2VGA,"Aunt Jemima Pancake Syrup, 24 Fl Oz"
127,B000VA5WPM,"Aunt Jemima Pancake Syrup, Butter Lite, 24 oz"
128,B000VDRJYG,"Gatorade Lemon Lime 6 ct, 12 oz"
129,B000VDT7TQ,"Gatorade Frost Glacier Freeze, 20 oz"
130,B000VDV1JK,"Gatorade Thirst Quencher, Orange, 12 oz, 6 Bottles"
131,B000VDX83W,"Gatorade Lemon Lime Powder, 18.4 oz"
132,B000VDZ286,"Gatorade Wide Mouth Fierce Grape, 8 ct, 20 oz"
133,B000VDZ3IU,"Gatorade Thirst Quencher, Fruit Punch, 12 oz, 6 Bottles"
134,B000VDZ3Q2,"Gatorade Wide Mouth Cool Blue, 8 ct, 20 oz"
135,B000VK2GII,"Stacy's Pita Chip, Simply Naked, 8 Oz"
136,B000VK7UD4,"Stacy's Pita Chip, Parmesean Garlic Herb, 8 Oz"
137,B000VKA28E,Near East Garlic & Herb Pilaf - 6.3 oz
138,B000WCZLLE,"Near East Couscous, Wild Mushroom And Herb, 5.4 oz"
139,B000WCZLO6,Near East Chicken Flavored Rice Pilaf - 6.25 oz
140,B000WCZLQY,Near East Whole Grains Brown Rice Pilaf - 6.25 oz
141,B000WD3MTG,"Stacy's Pita Chip, Cinnamon Sugar, 8 Oz"
142,B000WD5SIO,Near East Wild Mushroom & Herb Pilaf - 6.3 oz
143,B000WDP40Q,"Near East Lentil Pilaf, 6.75 oz"
144,B000WDP43S,"Near East Roasted Chicken And Garlic Pilaf, 6.3 oz"
145,B000WDP47O,"Near East Long Grain & Whole Grain Rice with Chicken, 6.3 oz"
146,B000WGBMO0,"Aunt Jemima Pancake Mix, 2 lb"
147,B000WGE2QK,"Aunt Jemima Pancake Mix, Buttermilk Complete, 2 lb"
148,B000WH2I56,"Rice A Roni Whole Grain Spanish Rice Mix, 4.6 oz"
149,B000WH4P1Q,"Rice A Roni Nature's Way Long Grain & Wild Rice, 4.2 oz"
150,B000WH8H92,"Quaker Breakfast Cookies Oatmeal Chocolate Chip, 6 ct, 10.1 oz"
151,B000WH9DD6,"Rice A Roni Beef, 6.8 oz"
152,B000WHAGH8,"Quaker Instant Oatmeal, Dinosaur Eggs,Brown Sugar 8 ct, 14.1 oz"
153,B000WHAHJ0,Quaker Chewy Peanut Butter Chocolate Chunk Bars - 0.84 oz - 8 ct
154,B000WHAI6W,"Quaker S'Mores Granola Bars, 8 ct, .84 oz each"
155,B000WHAINA,"Quaker Weight Control Instant Oatmeal, Maple and Brown Sugar, 8 Count (Pack of 1)"
156,B000WHC8LK,"Quaker Instant Oatmeal, Fruit & Cream Low Sugar Variety Pack, 10 ct, 1.23 oz"
157,B000WHC9Y6,Quaker Instant Grits - 12 Oz
158,B000WHE7S2,Quaker Chocolate Chip Bars - 0.84 oz - 8 Count
159,B000WHZLMI,Quaker Grits Quick Tube - 24 oz
160,B000WLW9RY,"Naked, Juice Green Machine, 15.2 oz"
161,B000WLW9S8,"Naked, All Natural Juice Smoothie, Mighty Mango, 15.2 oz"
162,B000WLXMF2,"Naked, Juice Blue Machine, 15.2 oz"
163,B000WLXMFC,"Naked, Juice Protein Zone, 15.2 oz"
164,B000WLZHNM,"Naked, Juice Strawberry Banana, 15.2 oz"
165,B000YAQRJY,"Tazo Tea, Giant Peach, 13.8 oz"
166,B000YD5PNU,"Stacy's Pita Chips, Multi-Grain, 8 Oz"
167,B000YG6S2O,"Lipton Lemon Sweetened Iced Tea Mix, 10 quart, 25.1 oz"
168,B0010BZG48,"Naked, Pomegranate Juice, Blueberry 15.2 oz"
169,B0010XTTLM,"Quaker Chewy, Reduced Sugar, Variety Pack, 6.7 oz"
170,B0010XTTMQ,"Quaker Instant Oatmeal, Lower Sugar Variety 10 pkts , 11.5oz"
171,B0010XTTOO,"Quaker Oatmeal To Go, Apples & Cinnamon, 6 Bars, 2.1 Ounce"
172,B00112FGLE,"Near East Garlic Herb Long Grain Rice, 5.9 oz"
173,B00112GT7E,"Near East Tomato And Lentil Couscous, 6.1 oz"
174,B00112H43M,"Near East Roasted Garlic Creative Grains, 5.1 oz"
175,B00113113K,"Near East Roasted Garlic Vermicelli Pasta, 7 oz"
