UPCMasterId,UPC,UPCName,BrandCategory,Proc_UPCName,Proc_UPCName1,Proc_UPCName2,IsUPCFuzzy,IsUPCFuzzyOld,IsUPCFuzzyNew,IsUPCNew,LastUpdatedUserId,Created
1,4000042208,3 Musketeers Bar,,THREE MUSKETEERS MILK CHOCOLAT NOUGAT PLASTIC WRAPPED 1 CT 1.92 OZ ,3 Musketeers Bar,3 Musketeers Bar,0,0,1,FALSE,FirstIRIMtch,29:46.5
10,4138711160,4C Decaf Iced Tea Bns,,4C NATURAL LEMON ICED TEA MIX CANISTER 1 CT 640 OZ ,4C Decaf Iced Tea Bns,4C Decaf Iced Tea Bns,0,0,1,FALSE,FirstIRIMtch,29:46.5
12,4138792985,4C Iced Tea Rasp 28Qt,,4C RASPBERRY ICED TEA MIX CANISTER 1 CT 896 OZ ,4C Iced Tea Rasp 28Qt,4C Iced Tea Rasp 28Qt,0,0,1,FALSE,FirstIRIMtch,29:46.5
15,4138711294,4C Tealemon Mx 20 Pk,,4C TOTALLY LIGHT TEA2GO HALF HALF ICD T LMND ICED TEA MIX PACKET IN BOX 20 CT 338 OZ ,4C Tealemon Mx 20 Pk,4C Tealemon Mx 20 Pk,0,0,1,FALSE,FirstIRIMtch,29:46.5
18,4138723442,4C Tl Psd Vr 24Ct Bns,,4C TOTALLY LIGHT 2GO ASSORTED DRINK MIX PACKET IN BOX 24 CT 405.6 OZ ,4C Tl Psd Vr 24Ct Bns,4C Tl Psd Vr 24Ct Bns,0,0,1,FALSE,FirstIRIMtch,29:46.5
19,4138700530,4C Totally Lght Fruit,,4C TOTALLY LIGHT FRUIT PUNCH PLASTIC CONTAINER DRINK MIX 1 CT 192 OZ ,4C Totally Lght Fruit,4C Totally Lght Fruit,0,0,1,FALSE,FirstIRIMtch,29:46.5
21,4138722730,4C Tl Green-T 14 Qt,,4C TOTALLY LIGHT GREEN TE W/HNY & LMN ICED TEA MIX TUB IN CANISTER 7 CT 448 OZ ,4C Tl Green-T 14 Qt,4C Tl Green-T 14 Qt,0,0,1,FALSE,FirstIRIMtch,29:46.5
24,4138700500,4C Totally Lght Lemon,,4C TOTALLY LIGHT LEMON ICED TEA PLASTIC CONTAINER DRINK MIX 1 CT 192 OZ ,4C Totally Lght Lemon,4C Totally Lght Lemon,0,0,1,FALSE,FirstIRIMtch,29:46.5
26,4138722792,4C Tl Lemonade Sf,,4C TOTALLY LIGHT LEMONADE DRINK MIX TUB IN CANISTER 7 CT 448 OZ ,4C Tl Lemonade Sf,4C Tl Lemonade Sf,0,0,1,FALSE,FirstIRIMtch,29:46.5
28,2200000512,5 Colbalt Peppermint,,WRIGLEYS 5 COBALT PEPPERMINT CHEWING GUM SUGAR FREE 15 CT 1.4 OZ ,5 Colbalt Peppermint,5 Colbalt Peppermint,0,0,1,FALSE,FirstIRIMtch,29:46.5
29,2200001471,5 Sugar Free Gum A Relaxing Mint Flavor RPM Single Pack 15 CT PKG,,WRIGLEYS 5 RPM MINT CHEWING GUM SUGAR FREE 15 CT 1 OZ ,5 Sugar Free Gum A Relaxing Mint Flavor RPM Single Pack 15 CT PKG,5 Sugar Free Gum A Relaxing Mint Flavor RPM Single Pack 15 CT PKG,0,0,1,FALSE,FirstIRIMtch,29:46.5
