IRICategoryId,IRIUPC,UPCName,Category,SubCategory,ParentCompany,Manufacturer,IRIUPC_SixDigit,IRIUPC_EightDigit,IRIUPC_NineDigit,IRIUPC_TenDigit,IRIUPC_TenDigitV2,IRIUPC_ElevenDigit,IRIUPC_ElevenDigitV2,LastUpdatedUserId,IsDeleted,LineageID,Modified,Created,IsPepsiCategory,BU,LineExtension,TradeMark,CustomUSFLNASaltySnacksSize,CustomUSCount,CustomUSSizePerUnitOz,IRIUPC_SrcEightDigit,IRIUPC_SrcNineDigit,IRIUPC_SrcTenDigit,ItemLaunchWeek,ItemLaunchYear,BrandLaunchWeek,BrandLaunchYear,CustomUSPackage,IRICategoryHead
-1,Unassigned,Unassigned,Unassigned,Unassigned,UnAssigned,UnAssigned,UnAsgn,UnAsgn,UnAsgn,UnAsgn,UnAsgn,UnAsgn,UnAsgn,PChaturvedula,False,1,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,,,,,,,,,,,,,,,
1,0000001003091,DEER PARK NATURAL SPRING WATER PLSTC WRPD PLSTC BTL 24 CT 405.6 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,001003,00100309,000100309,0000100309,0000010030,00000100309,00000010030,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,DEER PARK,DEER PARK,N/A,24 CT,16.9,00001003,000010030,0000100309,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
2,0000001024852,ARIZONA LEMON PREPARED ICED TEA CAN 1 CT 23 OZ ,TOTAL RTD TEA,SHELF STABLE RTD TEA,FEROLITO VULTAGGIO & SONS,ARIZONA BEVERAGES CO,001024,00102485,000102485,0000102485,0000010248,00000102485,00000010248,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,ARIZONA,ARIZONA,N/A,1 CT,23.0,00001024,000010248,0000102485,Before 2013,Before 2013,Before 2013,Before 2013,CAN,
3,0000001048851,SPRITE SODA LEMON LIME CAN IN BOX 12 CT 144 OZ ,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,COCA COLA CO,COCA COLA,001048,00104885,000104885,0000104885,0000010488,00000104885,00000010488,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,SPRITE BASE,SPRITE,N/A,12 CT,12.0,00001048,000010488,0000104885,Before 2013,Before 2013,Before 2013,Before 2013,CAN,
4,0000001054292,CAFFEINE FREE DIET COKE SODA COLA PLST BTL IN FRDG PCK 12 CT 144 OZ ,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,COCA COLA CO,COCA COLA,001054,00105429,000105429,0000105429,0000010542,00000105429,00000010542,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,COKE CLASSIC,COKE,N/A,12 CT,12.0,00001054,000010542,0000105429,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
5,0000001055021,DIET COKE SODA COLA CAN IN BOX 12 CT 144 OZ ,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,COCA COLA CO,COCA COLA,001055,00105502,000105502,0000105502,0000010550,00000105502,00000010550,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,COKE CLASSIC,COKE,N/A,12 CT,12.0,00001055,000010550,0000105502,Before 2013,Before 2013,Before 2013,Before 2013,CAN,
6,0000001055441,PEPSI SODA COLA CAN IN FRIDGE PCK BX 12 CT 144 OZ ,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,PEPSICO INC,PCNA,001055,00105544,000105544,0000105544,0000010554,00000105544,00000010554,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PEPSI BASE,PEPSI,N/A,12 CT,12.0,00001055,000010554,0000105544,Before 2013,Before 2013,Before 2013,Before 2013,CAN,
7,0000001057262,DIET PEPSI SODA COLA CAN IN FRIDGE PCK BX 12 CT 144 OZ ,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,PEPSICO INC,PCNA,001057,00105726,000105726,0000105726,0000010572,00000105726,00000010572,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PEPSI BASE,PEPSI,N/A,12 CT,12.0,00001057,000010572,0000105726,Before 2013,Before 2013,Before 2013,Before 2013,CAN,
8,0000001067761,KRAFT VELVEETA DINNER ORIGINAL 1 CT 2.39 OZ ,OTHER SIDE DISHES,MAC N CHEESE,KRAFT HEINZ CO,KRAFT HEINZ CO,001067,00106776,000106776,0000106776,0000010677,00000106776,00000010677,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,KRAFT VELVEETA,KRAFT VELVEETA,N/A,1 CT,2.39,00001067,000010677,0000106776,Wk - 09-08-13,2013,Before 2013,Before 2013,CUP,
9,0000001073172,ZEPHYRHILLS NATURAL SPRING WATER PLSTC BTL W SPRTS CP 1 CT 23.7 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,001073,00107317,000107317,0000107317,0000010731,00000107317,00000010731,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,ZEPHYRHILLS,ZEPHYRHILLS,N/A,1 CT,23.7,00001073,000010731,0000107317,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
