UPC,BU,PepsiBrand,SubBU,BrandSource,IsPepsiProduct,IsPepsiProductOld
7800001080,Beverages,7 Up,PBC,Allied,True,True
7800001180,Beverages,7 Up,PBC,Allied,False,False
7800001214,Beverages,7 Up,PBC,Allied,True,False
7800001219,Beverages,7 Up,PBC,Allied,False,False
7800000161,Beverages,7 Up,PBC,Allied,False,False
7800000035,Beverages,7 Up,PBC,Allied,True,False
7800000034,Beverages,7 Up,PBC,Allied,True,False
7800000531,Beverages,7 Up,PBC,Allied,False,False
7800000831,Beverages,7 Up,PBC,Allied,False,False
7800001182,Beverages,7 Up,PBC,Allied,False,False
7800001168,Beverages,7 Up,PBC,Allied,True,True
7800001181,Beverages,7 Up,PBC,Allied,False,False
7800001234,Beverages,7 Up,PBC,Allied,True,False
7800001223,Beverages,7 Up,PBC,Allied,False,False
7800000162,Beverages,7 Up,PBC,Allied,False,False
7800000075,Beverages,7 Up,PBC,Allied,True,False
7800001083,Beverages,7 Up,PBC,Allied,False,False
7800001510,Beverages,7 Up,PBC,Allied,False,False
7800005416,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005446,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005512,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005546,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005206,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005216,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005210,Beverages,A&W Root Beer,PBC,Allied,True,False
7800000187,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005242,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005240,Beverages,A&W Root Beer,PBC,Allied,False,False
7800000185,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005246,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005306,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005316,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005310,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005342,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005340,Beverages,A&W Root Beer,PBC,Allied,False,False
7800000687,Beverages,A&W Root Beer,PBC,Allied,False,False
7800005346,Beverages,A&W Root Beer,PBC,Allied,False,False
7800001084,Beverages,A&W Root Beer,PBC,Allied,False,False
7800001511,Beverages,A&W Root Beer,PBC,Allied,False,False
1200001756,Beverages,AMP,PBC,Corporate,True,True
1200001643,Beverages,AMP,PBC,Corporate,True,True
1200001743,Beverages,Aquafina,PBC,Corporate,True,True
1200001206,Beverages,Aquafina,PBC,Corporate,True,True
1200001207,Beverages,Aquafina,PBC,Corporate,True,True
1200011209,Beverages,Aquafina,PBC,Corporate,True,True
1200011210,Beverages,Aquafina,PBC,Corporate,True,True
1200011211,Beverages,Aquafina,PBC,Corporate,True,True
1200050404,Beverages,Aquafina,PBC,Corporate,True,True
1200000317,Beverages,Aquafina,PBC,Corporate,True,True
1200000875,Beverages,Aquafina,PBC,Corporate,True,True
1200001420,Beverages,Aquafina,PBC,Corporate,True,True
1200000157,Beverages,Aquafina,PBC,Corporate,True,True
1200000159,Beverages,Aquafina,PBC,Corporate,True,True
3000005070,Quaker,Aunt Jemima,Quaker,Corporate,True,True
3000005300,Quaker,Aunt Jemima,Quaker,Corporate,True,True
3000005040,Quaker,Aunt Jemima,Quaker,Corporate,True,True
3000005150,Quaker,Aunt Jemima,Quaker,Corporate,True,True
3000008940,Quaker,Aunt Jemima,Quaker,Corporate,True,True
3000005950,Quaker,Aunt Jemima,Quaker,Corporate,True,True
3000005620,Quaker,Aunt Jemima,Quaker,Corporate,True,True
3000005940,Quaker,Aunt Jemima,Quaker,Corporate,True,True
3000005800,Quaker,Aunt Jemima,Quaker,Corporate,True,True
3000005970,Quaker,Aunt Jemima,Quaker,Corporate,True,True
3000005960,Quaker,Aunt Jemima,Quaker,Corporate,True,True
28400639538,FLNA,Cheetos,FLNA,Corporate,True,
28400097673,FLNA,Doritos,FLNA,Corporate,True,
28400654609,FLNA,Nuts & Seeds,FLNA,Corporate,True,
52000131109,Beverages,Gatorade,Gatorade,Corporate,True,
28400420617,FLNA,Lay's,FLNA,Corporate,True,
12000202377,Beverages,Brisk,PBC,JV,True,
28400601252,FLNA,Matador,FLNA,Corporate,True,
12000000850,Beverages,Mountain Dew,PBC,Corporate,True,
108100207,Beverages,Starbucks,PBC,JV,True,
9181028400,FLNA,Sunchips,FLNA,Corporate,True,
2840024398,FLNA,Lay's,FLNA,Corporate,True,
2840024425,FLNA,Lay's,FLNA,Corporate,True,
2840025203,FLNA,Simply,FLNA,Corporate,True,
3000056616,Quaker,IQO,Quaker,Corporate,True,
3000056844,Quaker,Quaker,Quaker,Corporate,True,
3000056799,Quaker,IQO,Quaker,Corporate,True,
2840092361,FLNA,Lay's,FLNA,Corporate,True,
3000056800,Quaker,IQO,Quaker,Corporate,True,
2840022507,FLNA,OTEP,FLNA,Corporate,True,
3000056759,Quaker,Quaker,Quaker,Corporate,True,
5200004367,Beverages,Propel,Gatorade,Corporate,True,
777975470359,Beverages,Gatorade,Gatorade,Corporate,True,
85999700000,Hive,Health Warrior,Hive Foods,Corporate,True,
85268400000,Hive,Health Warrior,Hive Foods,Corporate,True,
85999700725,Hive,Health Warrior,Hive Foods,Corporate,True,
28400045445,FLNA,Doritos,FLNA,Corporate,True,
028400147927,FLNA,Lay's,FLNA,Corporate,True,
028400676588,FLNA,FL VP/MP,FLNA,Corporate,True,
4577200284,FLNA,Smartfood,FLNA,Corporate,True,
960289680,Quaker,Quaker,Quaker,Corporate,True,
960226270,Beverages,Tropicana,Tropicana,Corporate,True,
3609391013,Beverages,Kevita,NEB,Corporate,True,
5200004346,Beverages,Gatorade,Gatorade,Corporate,True,
1200018146,Beverages,Starbucks,PBC,JV,True,
5200004328,Beverages,Gatorade,Gatorade,Corporate,True,
85268400391,Hive,Health Warrior,Hive Foods,Corporate,True,
1200018142,Beverages,Starbucks,PBC,JV,True,
1200017129,Beverages,Bubly,PBC,Corporate,True,
2840020646,FLNA,OTEP,FLNA,Corporate,True,
40822344883,FLNA,Sabra,FLNA,JV,True,
12000181610,Beverages,Pure Leaf,PBC,JV,True,
3000001939,Quaker,Quaker,Quaker,Corporate,True,
28400228794,FLNA,FL VP/MP,FLNA,Corporate,True,
12000181641,Beverages,Pure Leaf,PBC,JV,True,
85999700726,Hive,Health Warrior,Hive Foods,Corporate,True,
12000181788,Beverages,Pure Leaf,PBC,JV,True,
81809400537,Beverages,Rockstar,PBC,JV,True,
2105405200,Beverages,Gatorade,Gatorade,Corporate,True,
2101305200,Beverages,Gatorade,Gatorade,Corporate,True,
960488982,Quaker,Quaker,Quaker,Corporate,True,
028400059381,FLNA,OTEP,FLNA,Corporate,True,
5200004117,Beverages,Gatorade,Gatorade,Corporate,True,
