UPCMasterId,UPC,UPCName,ASINMasterId,ASIN,ASIN_Name
200484,54400000962,Regina Balsamic Vinegar 16.9 oz,122849,B004SNMP7G,Regina Balsamic Vinegar 16.9 oz
200673,41729126534,Skyline Chili W/Mild Cheddar Cheese Chili Dip 10 Ounce,123058,B00DVXXX0C,Skyline Chili W/Mild Cheddar Cheese Chili Dip 10 Ounce
202102,13971000139,Bare Fruit 100 Organic Bake-Dried Mangos 1 Pound Bag,123559,B008440N7E,Bare Fruit 100 Organic Bake-Dried Mangos 1 Pound Bag
202104,70893029488,Rachael Ray Oat-tastically Good Berry Cherry Instant Oatmeal 11.29 Ounce,123554,B00DVXXBXQ,Rachael Ray Oat-tastically Good Berry Cherry Instant Oatmeal 11.29 Ounce
202105,70152301478,Best Maid Sweet Jalapenos 12 Ounce,123547,B00DNNALI2,Best Maid Sweet Jalapenos 12 Ounce
202116,13971000146,Bare Fruit 100 Organic Bake-Dried Pears 0.64-Ounce Pouches Pack of 96,123543,B000FK5O0G,Bare Fruit 100 Organic Bake-Dried Pears 0.64-Ounce Pouches Pack of 96
202117,53800200149,Lindsay Perfect Pairings Spicy Jalapeno Stuffed Queen Olives 4.5 Ounce,123546,B006FCOR06,Lindsay Perfect Pairings Spicy Jalapeno Stuffed Queen Olives 4.5 Ounce
202108,20735092804,Turkey Hill Orange Tea 64 Ounce,123558,B00DNNA5C4,Turkey Hill Orange Tea 64 Ounce
202109,53800200255,Lindsay Perfect Pairings Punchy Garlic Stuffed Queen Olives 4.5 Ounce,123557,B006FCMHU8,Lindsay Perfect Pairings Punchy Garlic Stuffed Queen Olives 4.5 Ounce
202114,41729143715,Skyline Chili Original Recipe Chili 13.25 Ounce,123551,B004ZK3TNG,Skyline Chili Original Recipe Chili 13.25 Ounce
202857,30000566343,Quaker Gluten Free Quick Cook,123595,B07KQNQSFG,Quaker Gluten Free Quick Cook
202858,27000442050,Manwich Thick & Chunky Sloppy Joe Sauce 15.5 Ounce,123597,B074B9K4FT,Manwich Thick & Chunky Sloppy Joe Sauce 15.5 Ounce
202860,612975804844,Martha Argerich Live Vol. 5,115226,B06VWWFMY1,Martha Argerich Live Vol. 5
202863,13971000900,Bare Gluten Free Baked Natural Apple Chips Fuji/reds 0.85 Ounce,123596,B07D7GL7Q1,Bare Gluten Free Baked Natural Apple Chips Fuji/reds 0.85 Ounce
211031,859997007369,HEALTH WARRIOR Chia Bars Strawberry Shortcake Gluten Free Vegan 25g bars 15Count,123726,B07PZHZ7ZR,HEALTH WARRIOR Chia Bars Strawberry Shortcake Gluten Free Vegan 25g bars 15Count
5739,1200000017,Pepsi 24Pk (24/12 Fo),27768,B0037AXGBU,Pepsi - 24 pk 12 OZ CAN
86850,12000000171,"Pepsi Soda, 12 Ounce (24 Cans)",311,B003QB16L2,"Pepsi Soda, 12 Ounce (24 Cans)"
45530,1200000051,Diet Pepsi,28225,B0037B1ANU,"Diet Pepsi (12 oz. cans, 24 ct.)"
5761,1200000053,Diet Pepsi 24Pk (24/12 Fo),27715,B00I276ZEI,Pepsi Diet - 24 pk 12 OZ CAN
86851,12000000539,"Pepsi Diet Soda, 12 Ounce (24 Cans)",312,B003QB17X4,"Pepsi Diet Soda, 12 Ounce (24 Cans)"
45611,1200000086,Mountain Dew,28221,B004JX7O6W,"Mountain Dew (12 oz. cans, 24 ct.)"
4703,1200000088,Mtn Dew 24Pk (24/12 Fo),27769,B0037AZENI,"Mountain Dew, 24ct, 12 oz Cans"
86852,12000000881,"Mountain Dew Soda, 12 Ounce (24 Cans)",314,B003QB1A72,"Mountain Dew Soda, 12 Ounce (24 Cans)"
86853,12000001307,"Diet Pepsi, 20oz Bottle",56648,B00E5QL28O,"Diet Pepsi, 20oz Bottle"
86854,12000001314,"Mountain Dew, 20oz Bottle",56560,B01N65SPOD,"Mountain Dew, 20oz Bottle"
59430,12000001321,Diet Pepsi Cola 2L,49,B000R9AL4O,"Diet Pepsi, 2 Liter"
86855,12000001345,"Diet Mountain Dew, 20oz Bottle",93548,B076CJV9H4,"Diet Mountain Dew, 20oz Bottle"
86855,12000001345,"Diet Mountain Dew, 20oz Bottle",3218,B0004N03TQ,"Diet Mountain Dew, 20oz Bottle"
86857,12000001574,"Aquafina Water Bottle, 1 L",56405,B01LXSB86V,"Aquafina Water Bottle, 1 L"
86857,12000001574,"Aquafina Water Bottle, 1 L",122867,B07KQW7ZZN,Aquafina Water Bottle 1 L
86858,12000001598,"Aquafina Water, 20oz Bottle",56555,B01N53VT9G,"Aquafina Water, 20oz Bottle"
86858,12000001598,"Aquafina Water, 20oz Bottle",93559,B076CHMH8Q,"Aquafina Water, 20oz Bottle"
43058,1200000166,DIET MOUNTAIN DEW,28222,B00CWQ5AD2,"Diet Mountain Dew (12 fl. oz. cans, 24 ct.)"
4715,1200000169,Diet Mtn Dew 12Pk (12/12 Fo),82202,B01ICWXHIO,"Mountain Dew, 12 ct"
86860,12000001703,"Diet Mountain Dew Cans (24 count, 12 oz each)",55772,B00MEWQHF4,"Diet Mountain Dew Cans (24 count, 12 oz each)"
86860,12000001703,"Diet Mountain Dew Cans (24 count, 12 oz each)",122566,B07LCD7LCF,Diet Mountain Dew Cans 24 count 12 oz each
9077,1200000177,STARBUCKS DOUBLESHOT ESPRESSO AND CREAM,2,B00061ES1K,"Starbucks Doubleshot Espresso and Cream, 6.5 oz"
9438,1200000180,Strbck Frapp Coffee (13.7 Fo),430,B00HVL6RQW,"Starbucks Frappuccino, Coffee, 13.7 oz"
5747,1200000230,Pepsi (2 Lt),28163,B006TVSN4E,"Pepsi (2L bottles, 4 pk.)"
64182,12000002304,"Pepsi, 67.6 Fl Oz, 4 Ct",93750,B0778MCRDW,"Pepsi, 2 Liter Bottle"
86861,12000002311,"Diet Pepsi, 2 Liter Bottle",119279,B07G6KG35Z,"Diet Pepsi Bottle, 2 Liter"
86861,12000002311,"Diet Pepsi, 2 Liter Bottle",93795,B0778LPLLF,"Diet Pepsi, 2 Liter Bottle"
86862,12000002335,"Mountain Dew Regular, 2 Liter Bottle",93773,B0778N4WQ1,"Mountain Dew Regular, 2 Liter Bottle"
86862,12000002335,"Mountain Dew Regular, 2 Liter Bottle",50,B000R9AL4Y,"Mountain Dew, 2 Liter"
4709,1200000233,Mtn Dew (2 Lt),27638,B0037B5522,"Mountain Dew, 2 Liter"
10502,1200000237,Pepsi Sierra Mist,28173,B0004MY8J8,Sierra Mist Natural Lemon Lime Soda 2 LTR BTL
59462,12000002700,Caleb'S Kola Craft Cola Glas Bot 10Floz,55560,B01GPYYHDA,"Caleb's Kola Fair Trade Cane Sugar, 10 Ounce"
86864,12000002717,"Starbucks Frappuccino, Caramel, 9.5 Ounce Glass Bottle",56557,B01N54DRQA,"Starbucks Frappuccino, Caramel, 9.5 Ounce Glass Bottle"
10224,1200000294,Pepsi (1 Lt),28179,B00OFU2SR4,Pepsi Base 33.8Oz 1Pk Pet
9981,1200000295,Diet Pepsi (1 Lt),28134,B00OH242HY,Diet Pepsi Base 33.8Oz 1Pk Pet
86865,12000003110,"Wild Cherry Pepsi, 2 Liter",93753,B0778MSL9J,"Wild Cherry Pepsi, 2 Liter Bottle"
86865,12000003110,"Wild Cherry Pepsi, 2 Liter",241,B001E6R4NA,"Wild Cherry Pepsi, 2 Liter"
86867,12000003257,"Starbucks Frappuccino, Mocha Light, 9.5 Ounce Glass Bottle",56545,B019YATJEE,"Starbucks Frappuccino, Mocha Light, 9.5 Ounce Glass Bottle"
59445,12000003417,Diet Wild Cherry Pepsi 2L,93761,B0778YGSXX,"Diet Wild Cherry Pepsi, 2 Liter Bottle"
59445,12000003417,Diet Wild Cherry Pepsi 2L,246,B001E6T4EC,"Diet Pepsi Wild Cherry, 2 Liter"
10684,1200000355,Strbk Frappuccino Cfe,28135,B00B7387QS,"Starbucks Coffee Drink Chilled, Coffee 9.5 Oz"
86868,12000004100,"Starbucks Frappuccino, Vanilla 9.5 Ounce Glass Bottle",56541,B0005YW9BO,"Starbucks Frappuccino, Vanilla 9.5 Ounce Glass Bottle"
7350,1200000452,Strbck Frapp Mocha (13.7 Fo),27854,B00HVL6SC0,Starbucks Frappuccino Drink Mocha 13.7 OZ BTL
7350,1200000452,Strbck Frapp Mocha (13.7 Fo),1592,B001E6R4VM,"Starbucks Frappuccino Mocha, 13.7 oz Bottle"
86869,12000004926,"Pepsi, Caffeine Free (2 Liter Bottle)",55864,B00BUT6UAY,"Pepsi, Caffeine Free (2 Liter Bottle)"
86869,12000004926,"Pepsi, Caffeine Free (2 Liter Bottle)",122563,B07LC9DJHR,Pepsi Caffeine Free 2 Liter Bottle
5756,1200000496,Diet Pepsi Free (2 Lt),27774,B0040PT9TY,"Diet Pepsi Caffeine Free, 2 Liter"
59381,12000004964,Diet Pepsi Caffeine Free 2L,238,B001E6P5SQ,"Diet Pepsi Caffeine Free, 2 Liter"
59381,12000004964,Diet Pepsi Caffeine Free 2L,93756,B0778S8GMR,"Diet Pepsi Caffeine Free, 2 Liter Bottle"
86870,12000005114,"Pepsi Caffeine Free Bottles, 6 ct",56017,B01J3U5UDO,"Pepsi Caffeine Free Bottles, 6 ct"
86871,12000005145,"Pepsi Caffeine Free Diet Bottle, 6 ct",28292,B01GCT22E4,"Diet Pepsi, Caffeine Free Bottles (6 Count, 16.9 Fl Oz Each)"
86871,12000005145,"Pepsi Caffeine Free Diet Bottle, 6 ct",55559,B01GO6I6D6,"Pepsi Caffeine Free Diet Bottle, 6 ct"
