UPCMasterId,UPC,GTINNumber,UPCName,GTINName,SAPHierId,DefaultHierId,BU,PepsiBrand,SubBU,BrandSource,IsPepsiProduct,IsPepsiProductOld,IRIUPC,IRI_UPCName,IRI_Category,IRI_SubCategory,OLD_IRI_Category,OLD_IRI_SubCategory,ASIN,ASIN_Name,PlanningBrandName,PlanningBrandSAPId,BrandCategory,SAPSegmentName,ParentCompany,ParentCompanyName,ParentCompanyOld,Proc_UPCName,Proc_UPCName1,Proc_UPCName2,IsUPCFuzzy,IsUPCFuzzyOld,IsUPCFuzzyNew,ECom_Category,LineExtension,TradeMark,Manufacturer,IsUPCNew,Source,IsSaturatedFatCompliant,IsSodiumCompliant,KCal,SaturatedFatInGrams,SodiumInMg,CustomCategory,CustomProductGroup,InnovationClass,InnovationSubClass,GTINMasterId,IRICategoryId,CustomUSFLNASaltySnacksSize,CustomUSCount,CustomUSSizePerUnitOz,IsMdmFuzzy,IsSapFuzzy,CLASS_NM,SIZE_DSC,WMT_ItemID,COPA_PLNG_BRND_VAL,COPA_PLNG_BRND_NM,LastUpdatedUserId,Brd_Source,MDM_GTINNumber,MDM_GTINName,Created,NAN_Category,FiananceSubBU,FinanceBrand,FinanceSubBrand,ExcludeFlag,BrandMasterId,Hrzn_Pkg_Grp_Desc,Config_Qty,Harmonized_SubCategory,Level2_Harmonized_SubCategory,Level1_Harmonized_SubCategory
-9,Filler,Filler,GATORADE SUB BU Total,TROPICANA SUB BU Total,NULL,NULL,Beverages,Gatorade,Gatorade,Corporate,0,0,52000131511,GATORADE G2 PERFORM RASPBERRY MELON THIRST QUENCHER PLASTIC BOTTLE 1 CT 32 OZ ,SPORTS DRINKS,SPORTS DRINKS,Unassigned,Unassigned,NULL,NULL,NULL,NULL,NULL,NULL,PEPSICO INC,NULL,UnAssigned,GATORADE SUB BU Total,GATORADE SUB BU Total,GATORADE SUB BU Total,1,1,0,Other,G2,TOTAL GATORADE SD,PEPSICO,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23834,62536,N/A,1 CT,32,1,0,NULL,NULL,NULL,NULL,TOSTITOS,Admin0424,Corporate,NULL,NULL,48:00.1,NULL,NAN,Gatorade,GTQ Liquid,0,2,NULL,NULL,NULL,NULL,NULL
-8,Filler,Filler,TROPICANA SUB BU Total,TROPICANA SUB BU Total,NULL,NULL,Beverages,Tropicana,Tropicana,Corporate,1,0,48500001011,TROPICANA PURE PREMIUM ORANGE JUICE NO PULP PASTEURIZED PURE CARTON ORIGINAL 1 CT 16 OZ - 0048500001011,TOTAL JUICE & DRINKS,OJ/OJ SPECIALTY BLENDS,Unassigned,Unassigned,NULL,NULL,NULL,NULL,NULL,NULL,QTG,Pepsico Inc,UnAssigned,TROPICANA SUB BU Total,TROPICANA SUB BU Total,TROPICANA SUB BU Total,1,1,0,Other,TROP PURE PREMIUM,TROPICANA PURE PREMIUM,QTG,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23834,56949,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,TOSTITOS,Admin0205,Corporate,NULL,NULL,48:00.1,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,59,NULL,NULL,NULL,NULL,NULL
-7,Filler,Filler,NEB SUB BU Total,TROPICANA SUB BU Total,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,NULL,NULL,NULL,NULL,NULL,NULL,UnAssigned,NULL,UnAssigned,NEB SUB BU Total,NEB SUB BU Total,NEB SUB BU Total,1,1,1,Other,NULL,NULL,UnAssigned,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23834,-1,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,TOSTITOS,NMIRIFuzzy,<UnAssigned>,NULL,NULL,48:00.1,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,NULL,NULL,NULL
-6,Filler,Filler,QUAKER SUB BU Total,TROPICANA SUB BU Total,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,1,0,Unassigned,Unassigned,Unassigned,Unassigned,WHOLESOME SNACKS EX LITE SNACKS,SNACK BARS,NULL,NULL,NULL,NULL,NULL,NULL,UnAssigned,NULL,KELLOGG CO,QUAKER SUB BU Total,QUAKER SUB BU Total,QUAKER SUB BU Total,1,1,0,Other,NULL,NULL,UnAssigned,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23834,-1,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,TOSTITOS,AdminMtch1204,<UnAssigned>,NULL,NULL,48:00.1,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,NULL,NULL,NULL
-5,Filler,Filler,FLNA SUB BU Total,TROPICANA SUB BU Total,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,NULL,NULL,NULL,NULL,NULL,NULL,UnAssigned,NULL,UnAssigned,FLNA SUB BU Total,FLNA SUB BU Total,FLNA SUB BU Total,1,1,1,Other,NULL,NULL,UnAssigned,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23834,-1,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,TOSTITOS,NMIRIFuzzy,<UnAssigned>,NULL,NULL,48:00.1,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,NULL,NULL,NULL
-4,Filler,Filler,PBC SUB BU Total,TROPICANA SUB BU Total,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,NULL,NULL,NULL,NULL,NULL,NULL,UnAssigned,NULL,UnAssigned,PBC SUB BU Total,PBC SUB BU Total,PBC SUB BU Total,1,1,1,Other,NULL,NULL,UnAssigned,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23834,-1,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,TOSTITOS,NMIRIFuzzy,<UnAssigned>,NULL,NULL,48:00.1,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,NULL,NULL,NULL
2216,1906300013,NULL,Fruit2O Natural Tropical Fruit Flavored Water - 6 pk 16 OZ BTL,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,19063000131,FRUIT2O TROPICAL FRUIT BLEND PURIFIED WATER PLSTC WRPD PLSTC BTL 6 CT 96 OZ ,BOTTLED WATER,ENHANCED NJSW (ENJSW),TOTAL WATER,ENHANCED NJSW (ENJSW),NULL,NULL,NULL,NULL,NULL,NULL,BRYNWOOD PARTNERS,Jw Childs Associates,BEVERAGE HOLDINGS,FRUIT2O TROPICAL FRUIT BLEND PURIFIED WATER PLSTC WRPD PLSTC BTL 6 CT 96 OZ ,Fruit2O Natural Tropical Fruit Flavored Water - 6 pk 16 OZ BTL,Fruit2O Natural Tropical Fruit Flavored Water - 6 pk 16 OZ BTL,0,0,1,Other,FRUIT2O,FRUIT2O,SUNNY DELIGHT BEVERAGES CO,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,168409,N/A,6 CT,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FirstIRIMtch,<UnAssigned>,NULL,NULL,29:46.5,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,TOTAL WATER,Beverages RTD,PAB LRB
-3,Filler,Filler,Quaker BU Total,TROPICANA SUB BU Total,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,1,1,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,NULL,NULL,NULL,NULL,NULL,NULL,UnAssigned,Pepsico Inc,UnAssigned,Quaker BU Total,Quaker BU Total,Quaker BU Total,1,1,1,Other,NULL,NULL,UnAssigned,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23834,-1,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,TOSTITOS,NMIRIFuzzy,<UnAssigned>,NULL,NULL,29:46.5,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,NULL,NULL,NULL
2,4000001603,NULL,3 Musketeers Bars - 6 ct 12.7 OZ PKG,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,40000016031,THREE MUSKETEERS MILK CHOCOLAT NOUGAT PLASTIC BAG IWP 6 CT 12.78 OZ ,CHOCOLATE CANDY,TOTAL CHOCOLATE CANDY,PEPSICO REVIEWS CATEGORIES US,TOTAL CHOCOLATE CANDY,NULL,NULL,NULL,NULL,NULL,NULL,MARS INC,NULL,MARS INC,THREE MUSKETEERS MILK CHOCOLAT NOUGAT PLASTIC BAG IWP 6 CT 12.78 OZ ,3 Musketeers Bars - 6 ct 12.7 OZ PKG,3 Musketeers Bars - 6 ct 12.7 OZ PKG,0,0,1,Other,THREE MUSKETEERS,THREE MUSKETEERS,MARS INC,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,190998,N/A,6 CT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FirstIRIMtch,<UnAssigned>,NULL,NULL,29:46.5,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,EXT: NON-PEP CATEGORIES,Extended Macrosnacks,TOTAL MACROSNACKS
2215,1906323234,NULL,Vf Frt 2 O Straw 6Pk,NULL,NULL,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,0,1906323234,FRUT2O NAT STRBRY WTR 6PK 6/16 FO,BOTTLED WATER,ENHANCED NJSW (ENJSW),TOTAL WATER,ENHANCED NJSW (ENJSW),NULL,NULL,NULL,NULL,NULL,NULL,BRYNWOOD PARTNERS,Jw Childs Associates,BEVERAGE HOLDINGS,FRUT2O NAT STRBRY WTR 6PK 6/16 FO,Vf Frt 2 O Straw 6Pk,Vf Frt 2 O Straw 6Pk,0,0,1,Other,NULL,NULL,BALSAMS SP,0,PeapodShare,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,736683,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FirstIRIMtch,<UnAssigned>,NULL,NULL,29:46.5,NULL,<UnAssigned>,<UnAssigned>,<UnAssigned>,0,-1,NULL,NULL,TOTAL WATER,Beverages RTD,PAB LRB
