ASINMasterId,ASIN,ASIN_Name,BU,SubBU,PepsiBrand,BrandSource
1,B0005YXZMQ,"Aunt Jemima Pancake Syrup Lite, 24 oz",Quaker,Quaker,Aunt Jemima,Corporate
2,B00061ES1K,"Starbucks Doubleshot Espresso and Cream, 6.5 oz",Beverages,PBC,Starbucks,JV
3,B00099E93Q,"Quaker Granola Oats, Honey, Almonds & Raisins, 100% Natural, 28 oz",Quaker,Quaker,Quaker,Corporate
4,B00099XLXU,"Quaker Oats Quick 1-Minute Oatmeal, Breakfast Cereal, 18oz Canister",Quaker,Quaker,IQO,Corporate
5,B00099XM0M,"Quaker Chewy Dipps Granola Bars, Chocolate Chip, 6 ct - 1.09 oz each",Quaker,Quaker,Chewy,Corporate
6,B000PL0YEG,"Pasta Roni Fettuccine Alfredo, 4.7 oz",Quaker,Quaker,Pasta Roni,Corporate
7,B000PL0YG4,"Pasta Roni Angel Hair Pasta with Herbs, 4.8 oz",Quaker,Quaker,Pasta Roni,Corporate
8,B000PL2VTW,"Rice A Roni, Herb & Butter Flavor, Rice Mix, 7.2 oz",Quaker,Quaker,Rice a Roni,Corporate
9,B000PL2VW4,"Pasta Roni, Parmesan Cheese Flavor, 5.1 Oz",Quaker,Quaker,Pasta Roni,Corporate
10,B000PL478A,"Rice A Roni Rice Pilaf, 7.2 oz",Quaker,Quaker,Rice a Roni,Corporate
11,B000PRMFL0,"Smartfood White Cheddar Popcorn, 5 oz",FLNA,FLNA,Smartfood,Corporate
12,B000PRODOM,"Cheetos, Flamin Hot Crunchy, 9.5 oz",FLNA,FLNA,Cheetos,Corporate
13,B000PUJ01K,"Pasta Roni Shells and White Cheddar, 6.2 oz",Quaker,Quaker,Pasta Roni,Corporate
14,B000PWIR7Q,"Quaker Popped Rice Crisp Snacks, Gluten Free, Cheddar Cheese, 6.06 Ounce Bag",Quaker,Quaker,POPPED,Corporate
15,B000PWK3KK,Quaker Quick Oats Large - 42 oz,Quaker,Quaker,SQO,Corporate
16,B000PWK3MI,"Quaker Life Original Cereal, 18oz",Quaker,Quaker,Life,Corporate
17,B000PWK3OQ,"Quaker Rice Cakes, Gluten Free White Cheddar, 5.50 oz",Quaker,Quaker,Large Rice Cakes,Corporate
18,B000PWNIE8,"Quaker Old Fashioned Oatmeal, Breakfast Cereal, 42 oz Canister",Quaker,Quaker,SQO,Corporate
19,B000PWNIJI,"Quaker Rice Cakes, Lightly Salted, 4.47 oz",Quaker,Quaker,Large Rice Cakes,Corporate
20,B000Q6RHU4,"Tropicana, Orange Juice, No Pulp, 118 oz",Beverages,Tropicana,Tropicana,Corporate
21,B000Q6T6IU,"Dole 100% Juice, Orange Strawberry Banana, 59 oz",Beverages,Tropicana,Dole,Corporate
22,B000Q6V1XI,"Tropicana, Orange Juice with Calcium + Vitamin D, No Pulp, 118 oz",Beverages,Tropicana,Tropicana Pure Premium,Corporate
23,B000Q6V1YC,"Dole, 100% Juice Pineapple Orange Banana, 59 oz",Beverages,Tropicana,Dole,Corporate
24,B000R2Z2Y0,"Gatorade Thirst Quencher, Orange, 8 ct, 20 oz",Beverages,Gatorade,Gatorade,Corporate
25,B000R2Z2YK,"Gatorade Rain Thirst Quencher, Berry, 32 oz",Beverages,Gatorade,Gatorade,Corporate
26,B000R2Z32G,"Gatorade Thirst Quencher, Fruit Punch, 32 oz",Beverages,Gatorade,Gatorade,Corporate
27,B000R2Z330,"Gatorade Thirst Quencher, Orange, 32 oz",Beverages,Gatorade,Gatorade,Corporate
28,B000R30LLI,"Gatorade Thirst Quencher, Fruit Punch, 128 oz",Beverages,Gatorade,Gatorade,Corporate
29,B000R30LNG,"Gatorade Thirst Quencher, Lemon Lime, 32 oz",Beverages,Gatorade,Gatorade,Corporate
30,B000R32OOU,"Gatorade Frost Thirst Quencher, Glacier Freeze, 32 oz",Beverages,Gatorade,Gatorade,Corporate
31,B000R32ORW,"Gatorade Thirst Quencher, Orange, 64 oz",Beverages,Gatorade,Gatorade,Corporate
32,B000R32OS6,"Gatorade Thirst, Quencher, Lemon-Lime, 64 oz",Beverages,Gatorade,Gatorade,Corporate
33,B000R36GS0,"Gatorade Thirst Quencher, Lemon Lime, 8 ct, 20 oz",Beverages,Gatorade,Gatorade,Corporate
34,B000R36GTE,"Gatorade Frost Thirst Quencher, Riptide Rush, 32 oz",Beverages,Gatorade,Gatorade,Corporate
35,B000R36GUS,"Gatorade Thirst Quencher, Cool Blue, 32 oz",Beverages,Gatorade,Gatorade,Corporate
36,B000R36GV2,"Gatorade Fierce Thirst Quencher, Grape, 32 oz",Beverages,Gatorade,Gatorade,Corporate
37,B000R36GW6,"Gatorade Thirst Quencher, Fruit Punch, 64 oz",Beverages,Gatorade,Gatorade,Corporate
38,B000R36GXA,"Propel Zero Nutrient Enhanced Water, Lemon, 6 pk, 16.9 oz",Beverages,Gatorade,Propel,Corporate
