UPCMasterId,UPC,UPCName,BrandCategory,Proc_UPCName,Proc_UPCName1,Proc_UPCName2,IsUPCFuzzy,IsUPCFuzzyOld,IsUPCFuzzyNew,IsUPCNew,LastUpdatedUserId,Created
-9,Filler,GATORADE SUB BU Total,NULL,GATORADE SUB BU Total,GATORADE SUB BU Total,GATORADE SUB BU Total,1,1,0,0,Admin0424,48:00.1
-8,Filler,TROPICANA SUB BU Total,NULL,TROPICANA SUB BU Total,TROPICANA SUB BU Total,TROPICANA SUB BU Total,1,1,0,0,Admin0205,48:00.1
-7,Filler,NEB SUB BU Total,NULL,NEB SUB BU Total,NEB SUB BU Total,NEB SUB BU Total,1,1,1,0,NMIRIFuzzy,48:00.1
-6,Filler,QUAKER SUB BU Total,NULL,QUAKER SUB BU Total,QUAKER SUB BU Total,QUAKER SUB BU Total,1,1,0,0,AdminMtch1204,48:00.1
-5,Filler,FLNA SUB BU Total,NULL,FLNA SUB BU Total,FLNA SUB BU Total,FLNA SUB BU Total,1,1,1,0,NMIRIFuzzy,48:00.1
-4,Filler,PBC SUB BU Total,NULL,PBC SUB BU Total,PBC SUB BU Total,PBC SUB BU Total,1,1,1,0,NMIRIFuzzy,48:00.1
-3,Filler,Quaker BU Total,NULL,Quaker BU Total,Quaker BU Total,Quaker BU Total,1,1,1,0,NMIRIFuzzy,29:46.5
-2,Filler,FLNA BU Total,NULL,FLNA BU Total,FLNA BU Total,FLNA BU Total,1,1,1,0,NMIRIFuzzy,29:46.5
3,4000046411,3Musketeer Funsize 6P,NULL,3 MUSKTR FUN SIZE 2.93 OZ,3Musketeer Funsize 6P,3Musketeer Funsize 6P,0,0,1,0,FirstIRIMtch,29:46.5
6,4138761215,4C Bread Crumbs Plain 15 OZ CAN,NULL,4C Bread Crumbs Plain 15 OZ CAN,4C Bread Crumbs Plain 15 OZ CAN,4C Bread Crumbs Plain 15 OZ CAN,1,1,1,0,NMIRIFuzzy,29:46.5
