tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
1957,6/24/2016 19:40,6/24/2016 20:12,368,Carmine St & 6 Ave,40.73038599,-74.00214988,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,18668,Subscriber,1989,1
764,8/26/2015 8:54,8/26/2015 9:07,450,W 49 St & 8 Ave,40.76227205,-73.98788205,402,Broadway & E 22 St,40.7403432,-73.98955109,17339,Subscriber,1988,1
511,52:30.2,01:02.1,527,E 33 St & 2 Ave,40.744023,-73.976056,498,Broadway & W 32 St,40.74854862,-73.98808416,17437,Subscriber,1985,1
380,8/5/2015 16:43,8/5/2015 16:49,517,Pershing Square South,40.751581,-73.97791,529,W 42 St & 8 Ave,40.7575699,-73.99098507,21133,Subscriber,1982,1
250,11/3/2016 8:09,11/3/2016 8:14,2003,1 Ave & E 18 St,40.73381219,-73.98054421,503,E 20 St & Park Ave,40.73827428,-73.98751968,15338,Subscriber,1968,1
936,35:23.2,50:59.4,408,Market St & Cherry St,40.71076228,-73.99400398,355,Bayard St & Baxter St,40.71602118,-73.99974372,27006,Subscriber,2000,1
188,12/15/2015 19:19,12/15/2015 19:23,410,Suffolk St & Stanton St,40.72066442,-73.98517977,473,Rivington St & Chrystie St,40.72110063,-73.9919254,22032,Subscriber,1983,1
217,39:11.4,42:49.3,3156,E 72 St & York Ave,40.76663814,-73.95348296,3140,1 Ave & E 78 St,40.77140426,-73.9535166,30153,Subscriber,1987,1
1853,12/17/2016 22:32,12/17/2016 23:03,313,Washington Ave & Park Ave,40.69610226,-73.96751037,150,E 2 St & Avenue C,40.7208736,-73.98085795,25741,Subscriber,1985,1
1426,3/4/2016 20:12,3/4/2016 20:36,147,Greenwich St & Warren St,40.71542197,-74.01121978,514,12 Ave & W 40 St,40.76087502,-74.00277668,17458,Customer,,0
310,29:39.1,34:50.0,479,9 Ave & W 45 St,40.76019252,-73.9912551,484,W 44 St & 5 Ave,40.75500254,-73.98014437,31453,Subscriber,1990,1
1229,46:25.3,06:55.0,3425,2 Ave & E 104 St,40.7892105,-73.94370784,3282,5 Ave & E 88 St,40.78307,-73.95939,28336,Subscriber,1986,1
336,34:07.3,39:43.3,3092,Berry St & N 8 St,40.7190095,-73.95852515,3108,Nassau Ave & Russell St,40.72557,-73.94434,24987,Subscriber,1975,2
200,36:18.1,39:39.0,355,Bayard St & Baxter St,40.71602118,-73.99974372,3435,Grand St & Elizabeth St,40.718822,-73.99596,19207,Subscriber,1996,1
1014,2/6/2017 10:30,2/6/2017 10:47,358,Christopher St & Greenwich St,40.73291553,-74.00711384,147,Greenwich St & Warren St,40.71542197,-74.01121978,16434,Subscriber,1976,2
417,10/13/2015 8:08,10/13/2015 8:15,223,W 13 St & 7 Ave,40.73781509,-73.99994661,2004,6 Ave & Broome St,40.724399,-74.004704,16326,Subscriber,1969,1
335,2/17/2016 20:00,2/17/2016 20:06,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,483,E 12 St & 3 Ave,40.73223272,-73.98889957,15833,Subscriber,1996,1
366,10/8/2015 8:39,10/8/2015 8:45,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,386,Centre St & Worth St,40.71494807,-74.00234482,23267,Subscriber,1981,1
461,8/5/2014 7:59,8/5/2014 8:07,530,11 Ave & W 59 St,40.771522,-73.990541,173,Broadway & W 49 St,40.76064679,-73.98442659,19426,Subscriber,1979,1
460,9/4/2016 10:25,9/4/2016 10:33,444,Broadway & W 24 St,40.7423543,-73.98915076,476,E 31 St & 3 Ave,40.74394314,-73.97966069,23961,Subscriber,1963,2
286,5/1/2014 14:57,5/1/2014 15:02,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,17505,Subscriber,1980,2
287,48:40.5,53:28.4,432,E 7 St & Avenue A,40.72621788,-73.98379855,311,Norfolk St & Broome St,40.7172274,-73.98802084,31995,Subscriber,1988,1
373,10/10/2017 17:04,10/10/2017 17:10,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,28012,Subscriber,1988,2
750,15:06.2,27:36.3,3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,3458,W 55 St & 6 Ave,40.76309387,-73.97835016,19407,Subscriber,1946,1
517,9/14/2016 14:30,9/14/2016 14:38,3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,3301,Columbus Ave & W 95 St,40.7919557,-73.968087,21548,Subscriber,1983,1
